event_time,beta,se,z,n,omitted,outcome,spec
5,29.175052203198355,29.566055788180996,0.9867752537645232,1390,False,motor_vehicle_theft_rate,ra
-5,-11.243671679893026,36.35760166428262,-0.30925229292389517,1390,False,motor_vehicle_theft_rate,eb
-4,-17.198708578646972,31.440856507723627,-0.5470178134117311,1390,False,motor_vehicle_theft_rate,eb
-3,2.204400241216102,24.1224545523072,0.09138374523355715,1390,False,motor_vehicle_theft_rate,eb
-2,-8.343781678382143,19.093714443431715,-0.43699101623741027,1390,False,motor_vehicle_theft_rate,eb
-1,0.0,0.0,0.0,0,True,motor_vehicle_theft_rate,eb
0,2.604040495888102,38.48423966171169,0.06766511483086114,1390,False,motor_vehicle_theft_rate,eb
1,22.830897408170312,45.675923548469754,0.4998453372035911,1390,False,motor_vehicle_theft_rate,eb
2,-31.784226636241936,12.67826926177762,-2.5069846664374653,1390,False,motor_vehicle_theft_rate,eb
3,-9.914732971590897,25.86187182740802,-0.3833725972256739,1390,False,motor_vehicle_theft_rate,eb
4,31.6636806474192,28.211321295331953,1.1223749613123757,1390,False,motor_vehicle_theft_rate,eb
5,30.73380754457787,30.414296470401688,1.0105052922886815,1390,False,motor_vehicle_theft_rate,eb
