county_fips,state_fips,lat,lon,nearest_other_state_fips,distance_to_nearest_other_state_km,nearest_other_state_county_fips
39037,39,40.116114,-84.606299,18,33.72835806332314,18135
39039,39,41.29476,-84.448702,18,49.76222080944627,18033
39041,39,40.213434,-83.012316,54,164.69741501007448,54107
39043,39,41.40534,-82.62729,26,90.22502778258487,26115
39045,39,39.799356,-82.672891,54,114.45910787584812,54107
39047,39,39.548507,-83.443856,21,103.10961916012481,21037
39049,39,40.001224,-82.992171,54,149.43378483114674,54107
39051,39,41.57813,-84.095238,26,38.853822996705674,26091
39053,39,38.83179,-82.275222,54,18.79551572999295,54053
39055,39,41.487507,-81.223418,42,78.05454435729229,42085
39057,39,39.725798,-83.997172,18,79.83551080011463,18161
39059,39,40.017747,-81.541964,54,72.02540492274609,54051
39061,39,39.181054,-84.509096,21,17.596414967792928,21037
39063,39,41.038819,-83.642078,26,96.81650144464986,26115
39065,39,40.687272,-83.673001,18,106.52478508547102,18001
39067,39,40.308308,-81.052878,54,39.59474696458615,54009
39069,39,41.360177,-84.078123,26,62.96433476381865,26091
39071,39,39.21912,-83.582063,21,69.3596272492337,21161
39073,39,39.524899,-82.449693,54,84.02332637994606,54107
39075,39,40.568212,-81.869548,54,110.4039110944444,54029
39077,39,41.176384,-82.613754,26,108.53171566586784,26115
39079,39,39.035842,-82.610925,54,53.11592602434474,54053
39081,39,40.365484,-80.692361,54,10.963610817278798,54009
39083,39,40.400283,-82.454323,54,148.66421246582036,54107
39085,39,41.685007,-81.319872,42,94.3516647439792,42085
39087,39,38.50139,-82.538753,21,13.507131726674775,21019
39089,39,40.051058,-82.52159,54,121.64567202300428,54107
39091,39,40.382633,-83.776776,18,105.94629889519261,18001
39093,39,41.391668,-82.110224,26,127.63709472976399,26115
39095,39,41.651951,-83.620346,26,29.905304928994774,26115
39097,39,39.923532,-83.378429,18,134.27669783519534,18177
39099,39,41.048246,-80.697024,42,31.013104304121494,42073
39101,39,40.582108,-83.127065,26,149.77224485571722,26115
39103,39,41.14417,-81.837739,42,126.27766468005336,42085
39105,39,39.061474,-82.011139,54,26.329421477076668,54053
39107,39,40.515597,-84.606448,18,36.94125611605651,18075
39109,39,40.039896,-84.229494,18,65.092290376868,18177
39111,39,39.743928,-81.066658,54,28.042575009522825,54095
39113,39,39.744183,-84.206384,18,62.60594609740815,18161
39115,39,39.615975,-81.865949,54,48.324732423096386,54107
39117,39,40.51851,-82.793839,26,164.3482435100524,26115
39119,39,39.963489,-81.996844,54,87.13931425428302,54107
39121,39,39.77294,-81.487122,54,50.12703792787669,54073
39123,39,41.532537,-83.080376,26,53.10833997786517,26115
39125,39,41.132652,-84.588497,18,45.101782100608986,18003
39127,39,39.758487,-82.237977,54,81.66604350773002,54107
39129,39,39.671077,-82.992679,54,123.57522398664653,54053
39131,39,39.084195,-83.036586,21,62.12222861073878,21089
39133,39,41.18075,-81.276935,42,79.17812722109092,42085
