estimator,control_rule,spec,event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
cs21,strict,ra,4,0.0,-0.1162943453075968,0.1065496084881897,0.0267683337144992,0.0346002042652937,-0.1162943453075968,0.2088372326368518,-0.3251315779444486,0.092542887329255,True
cs21,strict,ra,4,0.5,-0.1162943453075968,0.1065496084881897,0.0267683337144992,0.0346002042652937,-0.183215179593845,0.2689928265243735,-0.4522080061182185,0.0857776469305285,True
cs21,strict,ra,4,1.0,-0.1162943453075968,0.1065496084881897,0.0267683337144992,0.0346002042652937,-0.2501360138800932,0.3982330896347404,-0.6483691035148336,0.1480970757546472,True
cs21,strict,ra,4,2.0,-0.1162943453075968,0.1065496084881897,0.0267683337144992,0.0346002042652937,-0.3839776824525896,0.7095910128474494,-1.093568695300039,0.3256133303948598,True
cs21,strict,ra,5,0.0,0.0606633523638801,0.1160597383928233,0.0267683337144992,0.0346002042652937,0.0606633523638801,0.2274770872499336,-0.1668137348860535,0.2881404396138137,True
cs21,strict,ra,5,0.5,0.0606633523638801,0.1160597383928233,0.0267683337144992,0.0346002042652937,-0.0196416487796177,0.3051842110001342,-0.324825859779752,0.2855425622205165,True
cs21,strict,ra,5,1.0,0.0606633523638801,0.1160597383928233,0.0267683337144992,0.0346002042652937,-0.0999466499231155,0.4661674966189257,-0.5661141465420413,0.3662208466958101,True
cs21,strict,ra,5,2.0,0.0606633523638801,0.1160597383928233,0.0267683337144992,0.0346002042652937,-0.2605566522101112,0.8449917537731849,-1.105548405983296,0.5844351015630737,True
stackdd,single,eb,0,0.0,0.2292199911960728,0.1412530422303611,-0.0073924425458601,0.0982154762669501,0.2292199911960728,0.2768559627715077,-0.0476359715754348,0.5060759539675805,True
stackdd,single,eb,0,0.5,0.2292199911960728,0.1412530422303611,-0.0073924425458601,0.0982154762669501,0.2329162124690029,0.2931100667347676,-0.0601938542657646,0.5260262792037704,True
stackdd,single,eb,0,1.0,0.2292199911960728,0.1412530422303611,-0.0073924425458601,0.0982154762669501,0.236612433741933,0.3372037551965046,-0.1005913214545715,0.5738161889384376,True
stackdd,single,eb,0,2.0,0.2292199911960728,0.1412530422303611,-0.0073924425458601,0.0982154762669501,0.2440048762877932,0.4742128400919584,-0.2302079638041652,0.7182177163797516,True
stackdd,single,eb,1,0.0,0.1697644661528385,0.2027712985148727,-0.0073924425458601,0.0982154762669501,0.1697644661528385,0.3974317450891504,-0.2276672789363119,0.5671962112419889,True
stackdd,single,eb,1,0.5,0.1697644661528385,0.2027712985148727,-0.0073924425458601,0.0982154762669501,0.1771569086986986,0.4415983926613561,-0.2644414839626574,0.6187553013600547,True
stackdd,single,eb,1,1.0,0.1697644661528385,0.2027712985148727,-0.0073924425458601,0.0982154762669501,0.1845493512445589,0.5533358705077327,-0.3687865192631738,0.7378852217522915,True
stackdd,single,eb,1,2.0,0.1697644661528385,0.2027712985148727,-0.0073924425458601,0.0982154762669501,0.1993342363362792,0.8665254562610258,-0.6671912199247465,1.0658596925973052,True
stackdd,single,eb,2,0.0,0.1779603422234379,0.1985578722807125,-0.0073924425458601,0.0982154762669501,0.1779603422234379,0.3891734296701965,-0.2112130874467586,0.5671337718936345,True
stackdd,single,eb,2,0.5,0.1779603422234379,0.1985578722807125,-0.0073924425458601,0.0982154762669501,0.1890490060422281,0.4845972990570173,-0.2955482930147891,0.6736463050992455,True
stackdd,single,eb,2,1.0,0.1779603422234379,0.1985578722807125,-0.0073924425458601,0.0982154762669501,0.2001376698610185,0.6963980858170382,-0.4962604159560197,0.8965357556780567,True
stackdd,single,eb,2,2.0,0.1779603422234379,0.1985578722807125,-0.0073924425458601,0.0982154762669501,0.2223149974985991,1.2188163523003577,-0.9965013548017586,1.4411313497989569,True
stackdd,single,eb,3,0.0,0.4432358146994131,0.2301991066414733,-0.0073924425458601,0.0982154762669501,0.4432358146994131,0.4511902490172876,-0.0079544343178745,0.8944260637167007,True
stackdd,single,eb,3,0.5,0.4432358146994131,0.2301991066414733,-0.0073924425458601,0.0982154762669501,0.4580206997911334,0.5931283456337464,-0.1351076458426129,1.05114904542488,True
stackdd,single,eb,3,1.0,0.4432358146994131,0.2301991066414733,-0.0073924425458601,0.0982154762669501,0.4728055848828539,0.8924612121274814,-0.4196556272446275,1.3652667970103354,True
stackdd,single,eb,3,2.0,0.4432358146994131,0.2301991066414733,-0.0073924425458601,0.0982154762669501,0.5023753550662947,1.604752360391898,-1.1023770053256032,2.107127715458193,True
stackdd,single,eb,4,0.0,0.2064547425636642,0.1128423920098463,-0.0073924425458601,0.0982154762669501,0.2064547425636642,0.2211710883392987,-0.0147163457756345,0.4276258309029629,True
stackdd,single,eb,4,0.5,0.2064547425636642,0.1128423920098463,-0.0073924425458601,0.0982154762669501,0.2249358489283147,0.5296450016711435,-0.3047091527428288,0.7545808505994582,True
stackdd,single,eb,4,1.0,0.2064547425636642,0.1128423920098463,-0.0073924425458601,0.0982154762669501,0.2434169552929652,0.9875957473730498,-0.7441787920800846,1.231012702666015,True
stackdd,single,eb,4,2.0,0.2064547425636642,0.1128423920098463,-0.0073924425458601,0.0982154762669501,0.2803791680222662,1.937687149662133,-1.6573079816398668,2.218066317684399,True
stackdd,single,eb,5,0.0,0.582262370394328,0.1483076401072521,-0.0073924425458601,0.0982154762669501,0.582262370394328,0.2906829746102141,0.2915793957841139,0.8729453450045421,False
stackdd,single,eb,5,0.5,0.582262370394328,0.1483076401072521,-0.0073924425458601,0.0982154762669501,0.6044396980319087,0.6465376456917369,-0.0420979476598282,1.2509773437236456,True
stackdd,single,eb,5,1.0,0.582262370394328,0.1483076401072521,-0.0073924425458601,0.0982154762669501,0.6266170256694892,1.1910306184148785,-0.5644135927453893,1.817647644084368,True
stackdd,single,eb,5,2.0,0.582262370394328,0.1483076401072521,-0.0073924425458601,0.0982154762669501,0.6709716809446504,2.3282452535809424,-1.657273572636292,2.999216934525593,True
stackdd,single,ra,0,0.0,0.1821116369839134,0.1402135579513152,0.0331362521529339,0.0594973569663552,0.1821116369839134,0.2748185735845778,-0.0927069366006644,0.4569302105684911,True
stackdd,single,ra,0,0.5,0.1821116369839134,0.1402135579513152,0.0331362521529339,0.0594973569663552,0.1655435109074464,0.2809359400785151,-0.1153924291710686,0.4464794509859615,True
stackdd,single,ra,0,1.0,0.1821116369839134,0.1402135579513152,0.0331362521529339,0.0594973569663552,0.1489753848309794,0.2985368730157299,-0.1495614881847505,0.4475122578467094,True
stackdd,single,ra,0,2.0,0.1821116369839134,0.1402135579513152,0.0331362521529339,0.0594973569663552,0.1158391326780454,0.3604459918473977,-0.2446068591693522,0.4762851245254432,True
stackdd,single,ra,1,0.0,0.0620254263770697,0.1742030409250861,0.0331362521529339,0.0594973569663552,0.0620254263770697,0.3414379602131687,-0.279412533836099,0.4034633865902384,True
stackdd,single,ra,1,0.5,0.0620254263770697,0.1742030409250861,0.0331362521529339,0.0594973569663552,0.0288891742241357,0.3608031275328381,-0.3319139533087024,0.3896923017569739,True
stackdd,single,ra,1,1.0,0.0620254263770697,0.1742030409250861,0.0331362521529339,0.0594973569663552,-0.0042470779287982,0.4134923763823483,-0.4177394543111465,0.4092452984535502,True
stackdd,single,ra,1,2.0,0.0620254263770697,0.1742030409250861,0.0331362521529339,0.0594973569663552,-0.0705195822346661,0.5780693204812883,-0.6485889027159545,0.5075497382466222,True
